               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
118,0.025326,0.0071855,0.0019715,0.034483,0.6762,0.6037,0.62643,0.27422,0.035381,0.0086353,0.007369,0.004735,0.004735,0.004735
119,0.025336,0.0070212,0.0015427,0.0338999,0.70291,0.64795,0.66637,0.2333,0.034405,0.0082383,0.005613,0.00469,0.00469,0.00469
120,0.02573,0.0071309,0.0017903,0.0346512,0.55026,0.72083,0.71826,0.32262,0.032066,0.0079185,0.00727,0.004645,0.004645,0.004645
121,0.024583,0.0068803,0.0017154,0.0331787,0.66408,0.56245,0.65078,0.26629,0.031688,0.0085429,0.0071476,0.0046,0.0046,0.0046
122,0.025371,0.0068051,0.0019861,0.0341622,0.67063,0.69015,0.69247,0.31259,0.031105,0.0081923,0.0020073,0.004555,0.004555,0.004555
123,0.024694,0.0068242,0.0014734,0.0329916,0.60742,0.64462,0.66519,0.32374,0.03152,0.0083209,0.0043694,0.00451,0.00451,0.00451
124,0.02507,0.0066437,0.0017328,0.0334465,0.72346,0.65212,0.66522,0.31722,0.032676,0.0081259,0.0042795,0.004465,0.004465,0.004465
125,0.024112,0.0069472,0.0017083,0.0327675,0.72312,0.63326,0.65531,0.28686,0.03293,0.0083325,0.0061008,0.00442,0.00442,0.00442
126,0.024622,0.0069656,0.0018378,0.0334254,0.6849,0.57804,0.60906,0.26645,0.032063,0.0089391,0.0034704,0.004375,0.004375,0.004375
127,0.024366,0.006822,0.0017572,0.0329452,0.45731,0.42762,0.42603,0.18021,0.033183,0.0096604,0.0066103,0.00433,0.00433,0.00433
128,0.024102,0.0067355,0.0015881,0.0324256,0.71875,0.6414,0.67589,0.33057,0.032446,0.0082901,0.0050175,0.004285,0.004285,0.004285
129,0.024201,0.0066237,0.0016956,0.0325203,0.63535,0.58541,0.61025,0.29154,0.033218,0.00864,0.0040689,0.00424,0.00424,0.00424
